,country,age_group,n,matrix,iso3c
1,Afghanistan,0-4,5672509,14,AFG
2,Afghanistan,5-9,5416223,14,AFG
3,Afghanistan,10-14,5192114,14,AFG
4,Afghanistan,15-19,4629445,14,AFG
5,Afghanistan,20-24,3926485,14,AFG
6,Afghanistan,25-29,3109386,14,AFG
7,Afghanistan,30-34,2478259,14,AFG
8,Afghanistan,35-39,2056387,14,AFG
9,Afghanistan,40-44,1658723,14,AFG
10,Afghanistan,45-49,1304736,14,AFG
11,Afghanistan,50-54,1032359,14,AFG
12,Afghanistan,55-59,807839,14,AFG
13,Afghanistan,60-64,612638,14,AFG
14,Afghanistan,65-69,444858,14,AFG
15,Afghanistan,70-74,312451,14,AFG
16,Afghanistan,75-79,168004,14,AFG
17,Afghanistan,80+,105925,14,AFG